"flags","cltxt01"
0,"Recently I tried to smoke. Is that bad ? "
0,"Feeling Lonely"
0," For the first tike in 2 years i felt happy and like my self again today, its been hard and a long journy but i made it xxx😄😃"
0,"This the longest I've gone without sex in years...2 weeks =\u0014"
0,"Sometimes you just need a hug"
0,"'Being you is beautiful'"
0,"I always feel so anxious about the simple things =\u0014"
0,"omfg I'm verified! this app is my life, I literally love you all 💖"
0,"I saw you hug her today. Right in front of me like i was invisible. I once called you my best friend, and this hurt wo much.  "
0,"I know it's weird but I'm scared to do my hair in the mirror at school if people are there because I don't want them to judge me. =H"
3,"Gosh your making me blush haha :) xxx"
0,"So many things are happening at once I can't do it all"
0,"am really depressed but i still manage to seem cheerful I've learned how to fake smile ever since i was 10 and people just think am always happy when am the only one that knows am not=2=2"
0,"I hate that me and my boyfriend hardly see each other because of work and then when we do we just sit indoors on our phones.."
0,"When you try to put a fake smile on but your too upset 😢😖"
0,"I just wish sometimes that life could slow down👎🏼"
0,"What do you do when you've let the love of your life go without even realising😭"
0,"My boyfriend has to kiss another girl for a performance and I feel so sick about it... "
0,"#Goal : Be yourself! "
0,"Sometimes i feel like i have no one"
0,"hey u yeah u ur looking hot as usaul ♥♥"
0,"I hate seeing homeless people. =\u0014 "
0,"I'm always the friend who never gets a guy and I don't know why."
0,"I love drawing ☺️$$"
0,"So ill😓"
0,"Can't stand the idea of having to say goodbye at the end of the week. Everything is going to change it's scary "
0,"My kitten is one of my main sources of happiness =\b"
0,"It's 2am and I just finished an art project and im so proud of it, I can't wait to collapse from exhaustion though =\u0005 #happy"
0,"No one is even trying to save me.. so why should I save myself?...im better of dead..."
0,"He's either hot or cold with me! And it's really starting to mess with my head =-"
0,"My boyfriend has seasonal affective disorder and I don't know how to help ="""
0,"The cutest smile & funniest sense of humour. The kindest, most caring person I've met. I have a  big crush on you. Shame your 8 yrs older than me, I'm at school, you've already finished uni..=\u0001"
0,"Thank you everyone so much and to this app as well. Without you lot I probably wouldn't be here today! Honestly I can't thank all of you enough 😅"
0,"im sorry but id rather die, than wake up tomorrow feeling the way i do right now."
0,"Not feeling like you should hug your boyfriend because it's hard to tell if he still likes you... I don't want to bother him=\u0014"
0,"Told my mum the other day about self harming and she's been ignoring me since=-"
0,"I honestly don't know what I'd do without my best friend. She helps me through all the hard times and situations and I am so grateful. "
0,"""Your room is messy"" lol you should see my life."
0,"nothing good ever stays with me, absolutely nothing, why is it so hard to be happy=M"
0,"I wish I wasn't fat . I have 4 months until I go on holiday and I hope I'm happy with my body by then "
0,"One month till prom! Can't wait to feel like a princess =�<�=�<�"
0,"I need all of you to know that no matter what you think now, at some point in your life somebody will love you and care about you. If you died now, you would be depriving this future person of you. "
0,"Next year I will remove all the negativity from my life"
0,"remember u are not alone=�<\u001d<8=�"
0,"I wanna help people. Heart if you need someone to talk to and I'll post my twitter =�=H I want to help people as much as others have helped me in the past=�=�"
0,"A person needs 3 things to be happy- someone to love, something to do and something to hope for 😘"
0,"no one will ever compare to my ex and I always find myself running back, we had something special for 4 years but he doesn't see it anymore=-"
0,"Slowly giving up here :("
0,"Sometimes i wish the scars would fade sometime i wish there where more sometimes i wish that it would all go away that i could put the blade down...."
0,"To arise from the ashes a phoenix must first burn."
0,"Supernatural tho=�"
0,"I used to be really self conscious but now I have stretch marks and I got them when I was 14?!!! WHY! Can't wear shorts anymore because I'm even more  self conscious now!!=\u0016=\u0016=\u0016"
0,"Im sorry"
10,"I like you Rory🙈💘"
0,"I wish I was someone else😵😭😭😭..."
0,"There's this girl who happens to be my boyfriends ex and I absolutely despise her. I have plenty of reason too she slept with my boyfriend while he was going out with me. But yet to her in the bad one"
0,"I'm 18 and a boy and I'm really scrawny and I feel so weak all the time and I'm so self conscious about my body because I'm so skinny and not muscular.. 😓"
0,"I fucken miss him 😭😭😩💔"
0,"I seriously feel like dying rn =-"
0,"Fed up of this shitty verbal abuse I get off my mother."
0,"I want to have sex with him again. Humph. But I had to go make a complete fuck up of myself yesterday and now he probably thinks I like him. Which I do but not the point. I want sex. 😖😕😒😠😫🌑 "
0,"She makes him angry all the time, and it frustrates me because I'd never treat him like that, I don't think he understands how much he means to me 😭 "
0,"I've got friends who I class as family and I love with all my heart, yet somehow still have noone because of my incapability of trusting a single fucking person or of talking about anything. Given up."
0,"I just need a B� =\u0005"
0,"When things start to go right I get my hopes up way to high and then when it all goes wrong I'm so upset and I never learn "
0,"How could you be so stupid?"
0,"You said you'd never leave :( "
0,"I want a boyfriend who cares and not just uses =\u0014"
0,"Don't want to go to hell where everyone judges you :( "
0,"Feeling lol"
0,"I think I'm obsessed with lush, I got a set for Christmas and I bought more today 😂 and I am having a bath with 2 different products of the comforter because it's the best smell ever! 😍"
0,"Lucky to have the friends I do:\u000f"
0,"Looks like it didnt last long self harm got the best of me😒😔"
0,"Everyone wants happiness. Nobody wants pain, but you can't have a rainbow without a little rain 🌈☔"
0,"I'm always the one that people don't really care about. "
0,"Honestly you were like my brother and we ruined it by going out an now I need you and our guidance and your not there your not there to help me😔😔"
0,"I just want to be happy, I haven't been happy in a very long time"
0,"My best friend is pregnant 😆😃👶🏽👶🏽"
0,"Sometimes all you need is a smile from someone you don't know just to give you a little hope."
0,"If someone that your close to treats you like shit should you leave them or be there for them??=\u0014"
0,"Gay Marriage Referendum is being held here in Ireland this May and hate to hear the way my Dad talks about Gay/Bi people, he acts like they're dirt what he doesn't know is I'm bisexual "
0,"#7DaySecretChallenge i sang infront of 1000 people today. Im still in shock that i did that. F**k you anxiety!!"
0,"today I began my law course. one step closer to becoming a women's prison guard😆 "
0,"Good Vibes Only"
0,"So apparently my grade card isn't good enough, according to my dad I didn't get enough A* but I GOT ALL FUCKING A*'s EXCEPT TWO A's AND ONE B SO YOU CAN GO FUCK YOURSELF OK DAD?! =$=$=$"
0,"hate how bi polar makes you feel so poo and just makes you wanna curl in a ball and cry all day..every day that's annoying😩"
0,"The person reading this now, your beautiful and tough! You can do this!"
0,"just found out the one of the presents i used on myself from my partner  was from his ex girlfriend that she used aswell. No wonder i have trust issues 😅"
0,"Pitch perfect 2 is actually amazing!!!!!"
0,"I used to cut myself and consider committing suicide but now Ive been in a relationship with my best friend for a year and couldn't be happier :) Tomorrow could be a better day, don't give up yet x "
0,"Child protection conference today with social services the results absolutely broke my heart being taken away from your mother is so unbelievably painful and there was nothing I could do to stop it 💔"
0,"😢"
0,"Just want to cuddle my boyfriend... Oh wait, I remember, I don't have one🔫"
0,"hello friend"
0,"I'm fine doesn't mean I'm fine. \nI wish people who swear they know  me would and learn and understand that."
0,"I bored my friends complaining that I didn't have a bf but now I realise, I just couldn't bring myself to tell them about my real problems so used it as an excuse to get advice, I'm a bad friend"
0,"My 6 year old sister keeps calling me fat and my parents don't understand how much it hurts me, and they say she's just a kid so I shouldn't mind what she says at all"
